SerialNo,BomNo,TestDate,OverallPassFail,Measurement,Value,Z_Score
04B2826120725,CRS0000675,2026-03-01,Fail,Suction Tube Temp,86.1,-3.47
04D0926121300,CRS0000675,2026-04-10,Fail,Suction Tube Temp,70.4,-4.36
04D1326121350,CRS0000675,2026-04-13,Fail,Suction Tube Temp,70.4,-4.36
04D1326121350,CRS0000675,2026-04-13,Fail,Suction Tube Temp,71.3,-4.31
04C2426121082,CRS0000675,2026-04-18,Fail,Suction Tube Temp,73.5,-4.18
04D1826121463,CRS0000675,2026-04-18,Fail,Suction Tube Temp,90.1,-3.24
04D1326121350,CRS0000675,2026-04-24,Fail,Suction Tube Temp,74.0,-4.15
04D1326121350,CRS0000675,2026-04-24,Fail,Suction Tube Temp,71.3,-4.31
04C1026120845,CRS0000675,2026-03-10,Fail,Evap Inlet Ret Bend A Temp,-1973.8,-17.84
04M2225120168,CRS0000675,2026-01-16,Fail,Evap Outlet Air Temp,-1952.0,-12.65
04M2225120168,CRS0000675,2026-01-16,Fail,Evap Outlet Air Temp,-1952.0,-12.65
04M2225120168,CRS0000675,2026-01-16,Fail,Inlet/Outlet Air Temp Delta,2024.0,12.53
04M2225120168,CRS0000675,2026-01-16,Fail,Inlet/Outlet Air Temp Delta,2022.7,12.53
04C1826120995,CRS0000675,2026-03-18,Fail,Ambient Temperature,77.9,3.1
04B1226120599,CRS0000675,2026-02-13,Fail,Startup Current,4.76,-3.01
04D1326121350,CRS0000675,2026-04-13,Fail,Startup Current,2.32,-5.4
04D1326121350,CRS0000675,2026-04-13,Fail,Startup Current,2.17,-5.55
04C2526121094,CRS0000675,2026-04-14,Fail,Startup Current,3.64,-4.1
04C2526121093,CRS0000675,2026-04-14,Fail,Startup Current,3.66,-4.09
04C2426121082,CRS0000675,2026-04-18,Fail,Startup Current,4.76,-3.01
04D1326121350,CRS0000675,2026-04-24,Fail,Startup Current,2.44,-5.28
04D1326121350,CRS0000675,2026-04-24,Fail,Startup Current,2.12,-5.6
04B1226120599,CRS0000675,2026-02-13,Fail,Final Current,4.61,-3.25
04D1326121350,CRS0000675,2026-04-13,Fail,Final Current,2.1,-5.87
04D1326121350,CRS0000675,2026-04-13,Fail,Final Current,2.1,-5.87
04C2526121094,CRS0000675,2026-04-14,Fail,Final Current,3.32,-4.59
04C2526121093,CRS0000675,2026-04-14,Fail,Final Current,3.56,-4.34
04C2426121082,CRS0000675,2026-04-18,Fail,Final Current,4.83,-3.02
04D1326121350,CRS0000675,2026-04-24,Fail,Final Current,2.2,-5.76
04D1326121350,CRS0000675,2026-04-24,Fail,Final Current,2.08,-5.89
