SerialNo,BomNo,TestDate,OverallPassFail,Measurement,Value,Z_Score
04B2726120709,CRS0000674,2026-02-28,Fail,Suction Tube Temp,70.4,-4.59
04C1326120945,CRS0000674,2026-03-14,Fail,Suction Tube Temp,139.7,3.16
04C1326120945,CRS0000674,2026-03-14,Fail,Suction Tube Temp,149.5,4.25
04C1326120945,CRS0000674,2026-03-16,Fail,Suction Tube Temp,144.1,3.65
04C1326120945,CRS0000674,2026-03-16,Fail,Suction Tube Temp,154.8,4.85
04C1326120945,CRS0000674,2026-03-16,Fail,Suction Tube Temp,157.5,5.15
04C3126121160,CRS0000674,2026-03-31,Fail,Suction Tube Temp,71.3,-4.49
04C3126121174,CRS0000674,2026-04-01,Fail,Suction Tube Temp,77.1,-3.84
04C3126121174,CRS0000674,2026-04-01,Fail,Suction Tube Temp,74.0,-4.18
04D0626121252,CRS0000674,2026-04-07,Fail,Suction Tube Temp,78.0,-3.74
04D1326121358,CRS0000674,2026-04-13,Fail,Suction Tube Temp,70.9,-4.53
04D1526121398,CRS0000674,2026-04-15,Fail,Suction Tube Temp,71.8,-4.43
04D1626121409,CRS0000674,2026-04-16,Fail,Suction Tube Temp,80.7,-3.44
04D1626121415,CRS0000674,2026-04-16,Fail,Suction Tube Temp,82.9,-3.19
04D0626121252,CRS0000674,2026-04-24,Fail,Suction Tube Temp,81.6,-3.33
04C1126120904,CRS0000674,2026-03-11,Fail,Evap Inlet Ret Bend A Temp,143.8,7.43
04C1326120945,CRS0000674,2026-03-14,Fail,Evap Inlet Ret Bend A Temp,127.6,5.51
04C1326120945,CRS0000674,2026-03-14,Fail,Evap Inlet Ret Bend A Temp,135.2,6.41
04C1326120945,CRS0000674,2026-03-14,Fail,Evap Inlet Ret Bend A Temp,148.3,7.96
04C1326120945,CRS0000674,2026-03-16,Fail,Evap Inlet Ret Bend A Temp,115.4,4.07
04C1326120945,CRS0000674,2026-03-16,Fail,Evap Inlet Ret Bend A Temp,153.3,8.55
04C1326120945,CRS0000674,2026-03-16,Fail,Evap Inlet Ret Bend A Temp,156.0,8.87
04D0626121252,CRS0000674,2026-04-07,Fail,Evap Inlet Ret Bend A Temp,54.0,-3.18
04D1626121409,CRS0000674,2026-04-16,Fail,Evap Inlet Ret Bend A Temp,124.4,5.14
04A2026120315,CRS0000674,2026-01-20,Fail,Evap Outlet Air Temp,62.4,-3.14
04A2026120315,CRS0000674,2026-01-20,Pass,Evap Outlet Air Temp,62.4,-3.14
04A2026120315,CRS0000674,2026-02-07,Fail,Evap Outlet Air Temp,61.0,-3.79
04A2026120315,CRS0000674,2026-02-07,Fail,Evap Outlet Air Temp,61.5,-3.56
04C1626120969,CRS0000674,2026-03-16,Pass,Evap Outlet Air Temp,75.8,3.07
04C1626120971,CRS0000674,2026-03-16,Pass,Evap Outlet Air Temp,75.8,3.07
04C2026121034,CRS0000674,2026-03-20,Fail,Evap Outlet Air Temp,77.5,3.86
04C2026121034,CRS0000674,2026-03-20,Pass,Evap Outlet Air Temp,77.1,3.68
04A2026120315,CRS0000674,2026-01-20,Fail,Inlet/Outlet Air Temp Delta,7.7,3.98
04A2026120315,CRS0000674,2026-01-20,Pass,Inlet/Outlet Air Temp Delta,7.6,3.92
04A2026120315,CRS0000674,2026-01-22,Pass,Inlet/Outlet Air Temp Delta,6.6,3.28
04A2026120315,CRS0000674,2026-01-22,Fail,Inlet/Outlet Air Temp Delta,6.9,3.47
04A2026120315,CRS0000674,2026-02-07,Fail,Inlet/Outlet Air Temp Delta,7.5,3.86
04A2026120315,CRS0000674,2026-02-07,Fail,Inlet/Outlet Air Temp Delta,7.3,3.73
04A2026120315,CRS0000674,2026-02-09,Fail,Inlet/Outlet Air Temp Delta,7.9,4.11
04A2026120315,CRS0000674,2026-02-09,Fail,Inlet/Outlet Air Temp Delta,7.5,3.86
04B2526120683,CRS0000674,2026-02-26,Fail,Inlet/Outlet Air Temp Delta,6.5,3.21
04B2526120684,CRS0000674,2026-02-26,Pass,Inlet/Outlet Air Temp Delta,7.4,3.79
04B2726120706,CRS0000674,2026-02-28,Pass,Inlet/Outlet Air Temp Delta,6.6,3.28
04B2726120707,CRS0000674,2026-02-28,Pass,Inlet/Outlet Air Temp Delta,6.5,3.21
04B2726120708,CRS0000674,2026-02-28,Pass,Inlet/Outlet Air Temp Delta,6.6,3.28
04B2726120709,CRS0000674,2026-02-28,Fail,Inlet/Outlet Air Temp Delta,7.5,3.86
04B2726120710,CRS0000674,2026-02-28,Pass,Inlet/Outlet Air Temp Delta,7.8,4.05
04B2726120711,CRS0000674,2026-02-28,Pass,Inlet/Outlet Air Temp Delta,7.3,3.73
04B2826120712,CRS0000674,2026-02-28,Pass,Inlet/Outlet Air Temp Delta,7.5,3.86
04C2026121034,CRS0000674,2026-03-20,Fail,Ambient Temperature,77.2,3.16
04C2326121068,CRS0000674,2026-03-24,Fail,Ambient Temperature,77.9,3.45
04B2726120709,CRS0000674,2026-02-28,Fail,Startup Current,2.0,-6.73
04C1126120904,CRS0000674,2026-03-11,Fail,Startup Current,5.05,4.64
04C1326120945,CRS0000674,2026-03-14,Fail,Startup Current,4.66,3.18
04C1326120945,CRS0000674,2026-03-16,Fail,Startup Current,5.59,6.65
04C1326120945,CRS0000674,2026-03-16,Fail,Startup Current,4.98,4.38
04C3126121174,CRS0000674,2026-04-01,Fail,Startup Current,2.27,-5.73
04C3126121174,CRS0000674,2026-04-01,Fail,Startup Current,2.1,-6.36
04D0626121252,CRS0000674,2026-04-07,Fail,Startup Current,2.34,-5.47
04D1426121381,CRS0000674,2026-04-15,Fail,Startup Current,2.86,-3.53
04D1426121381,CRS0000674,2026-04-15,Fail,Startup Current,2.91,-3.34
04D0626121252,CRS0000674,2026-04-24,Fail,Startup Current,2.22,-5.91
04B2726120709,CRS0000674,2026-02-28,Fail,Final Current,2.08,-5.22
04C1126120904,CRS0000674,2026-03-11,Fail,Final Current,6.1,6.67
04C1326120945,CRS0000674,2026-03-14,Fail,Final Current,4.88,3.06
04C1326120945,CRS0000674,2026-03-14,Fail,Final Current,5.15,3.86
04C1326120945,CRS0000674,2026-03-16,Fail,Final Current,5.83,5.87
04C1326120945,CRS0000674,2026-03-16,Fail,Final Current,6.49,7.82
04C1326120945,CRS0000674,2026-03-16,Fail,Final Current,6.54,7.97
04C3126121174,CRS0000674,2026-04-01,Fail,Final Current,2.2,-4.87
04C3126121174,CRS0000674,2026-04-01,Fail,Final Current,2.17,-4.95
04D0626121252,CRS0000674,2026-04-07,Fail,Final Current,2.05,-5.31
04D0626121252,CRS0000674,2026-04-24,Fail,Final Current,2.15,-5.01
