col,mean,std,n,outliers,unit
Suction Tube Temp,147.36873065015482,17.661138707156923,323,8,LT
Evap Inlet Ret Bend A Temp,87.87399380804955,115.57855038524768,323,1,LT
Evap Inlet Ret Bend B Temp,-1957.7999999999997,2.2772646646291246e-13,323,0,LT
Evap Outlet Air Temp,56.55077399380806,158.81587729139002,323,2,LT
Inlet/Outlet Air Temp Delta,14.89589905362776,160.30250699521764,317,2,LT
Ambient Temperature,69.42631578947369,2.735700437060639,323,1,LT
Startup Voltage,113.2392944785276,1.7663064789642136,326,0,LT
Final Voltage,114.73232198142415,1.613302579424016,323,0,LT
Startup Current,7.822307692307692,1.0188597615350279,325,8,LT
Final Current,7.7228260869565215,0.958438710057815,322,8,LT
Suction Tube Temp,111.44012096774195,8.949017393466702,496,15,MT
Evap Inlet Ret Bend A Temp,80.92298387096774,8.465315805366496,496,9,MT
Evap Inlet Ret Bend B Temp,-1957.7999999999997,2.276032299443457e-13,496,0,MT
Evap Outlet Air Temp,69.17560483870969,2.1557697158496585,496,8,MT
Inlet/Outlet Air Temp Delta,1.5195473251028806,1.551217878979286,486,17,MT
Ambient Temperature,69.57016129032259,2.4171016900398468,496,2,MT
Startup Voltage,113.51828629032256,1.6863674685798438,496,0,MT
Final Voltage,115.33574596774193,1.4160666279992624,496,0,MT
Startup Current,3.8061895161290322,0.26826000573649655,496,11,MT
Final Current,3.8453441295546558,0.3381218004253373,494,11,MT
